Ticker,EPS,BVPS,GrahamNumber,ClosingPrice
A,0.7161385173278444,8.387755102040817,11.62552692594632,37.01
AABA,0.134096939990818,6.915082610305374,4.567719004172384,27.0399
AAPL,0.02391519857487558,0.5925604548672161,0.5646698338673508,156.339
ABI,,,,9.77
ABKFQ,,,,0.1531
ABT,0.4620121315985836,10.111898332668197,10.25260665985214,55.21
ACS,,,,59.64
ADBE,0.256749156784405,8.109034214539037,6.84432050540247,44.0
ADI,0.3518722962963012,7.965101345516776,7.941077777310476,36.94
ADM,0.5856992650834301,18.354037267080745,15.552292053567838,33.17
ADP,0.5536913974419055,9.442471188361987,10.845959571229937,46.82
ADSK,0.30661847078568216,4.831524099001303,5.773411205084813,49.82
AEE,0.7508876250286646,32.543352601156066,23.4482199061236,53.34
AEP,0.6598430162688452,24.820741033806634,19.196362524445473,47.02
AES,0.1297295393806026,4.803303303303303,3.7443867740211414,20.72
AET,0.87025767120073,18.954427208201473,19.265066904268625,54.52
AFL,0.3824346939096808,8.675433463706076,8.640034819234833,58.25
AGN,,,,31.94
AIG,23.374310789980914,807.973602484472,651.8673846173639,68.59
AIV,0.3003107923123711,14.612625538020087,9.936669761265744,46.29
AIZ,1.1394192317277239,33.12079836433414,29.139589549206338,54.78
ALL,1.4416724028266437,37.229392531405956,34.75101761383237,58.35
ALTR,,,,18.31
AMAT,0.24304748827891295,5.332396740860284,5.400053404679157,21.33
AMD,-0.2331474523756154,7.445848375451264,,13.23
AMGN,0.6359799807697809,15.566298342541437,14.924701595418549,56.41
AMP,0.6921971971431303,32.956669498725574,22.655718278599835,64.11
AMZN,0.010888009892079538,0.091908212560386,0.1500523054445306,93.41
AN,0.41346530257668596,17.72972972972973,12.842863057526358,17.72
ANF,0.9883766558698314,16.8642751731184,19.365839969743018,82.25
AON,0.5690007267980721,19.033898305084747,15.610310512970612,45.47
APA,1.8331491658920076,44.119473169470574,42.65847450864506,91.96
APC,3.104835385361294,101.61728230519145,84.25473881017997,54.66
APD,0.9196549373932015,25.584729981378025,23.00880859818776,98.85
APOL,0.9337427491924492,3.67850779703904,8.791049404081095,7.57
ARNC,,,,6.92
ASH,3.065275927320578,49.69939430084408,58.546588555079744,61.37
AT,-0.18899031757318824,3.167588062566597,,10.92
ATI,1.2136285009017511,20.3120679925237,23.55110091120099,113.28
AVB,1.0161335335435973,39.26303605826631,29.961157692411618,119.49
AVP,0.36645693628912696,1.416091954022988,3.417027388964905,37.84
AVY,0.7554966831322539,19.305188199389622,18.115259511455054,57.96
AXP,0.7861791559987092,9.314529914529915,12.836082287887601,60.63
AYE,,,,53.37
AZO,2.0255993167275723,6.216945493793847,16.832807616322683,116.52
BA,0.8402621508221575,8.436718029764256,12.629478763801783,106.65
BAC,1.0678459043125201,31.33273733796376,27.437511600690083,50.64
BAX,0.47640120815163284,9.81591263650546,10.257535492538977,56.63
BBBY,0.5055164544384946,9.097891900221372,10.172537356331194,34.8
BBY,0.6363205568904237,7.613150191398334,10.44026289483761,46.94
BC,0.6045641647937325,21.386516853932584,17.056208202352856,23.22
BCR,,,,88.99
BDX,0.7555210833060133,17.83026303559795,17.40978581133145,82.76
BEAM,,,,18.75
BEN,0.4376795406855283,10.138211212189962,9.991945336184239,130.43
BHGE,,,,37.25
BIG,0.14431253980878636,8.517738754812658,5.2590276235756495,29.87
BIIB,0.20504804621591857,17.278286117705687,8.928313011644,67.94
BJS,,,,26.65
BK,0.6765298774308152,25.735780974345985,19.792626324811305,44.93
BMS,0.41521216233588704,14.669066653587718,11.706512499691005,29.26
BMY,0.30402487190598415,5.649949341438703,6.216817136456527,29.03
BRCM,0.07512996251367433,7.45061993328188,3.5489023537637387,57.49
BRL,,,,57.24
BSX,-0.0908728053773923,10.41549201235065,,14.12
BTUUQ,,,,7.75
BUD,,,,38.5
BXP,1.7613970649479325,36.533753466095284,38.05108458179623,107.6
C,10.84370286708628,258.5647159333618,251.1682233257499,47.72
CA,,,,25.195
CAG,0.31874453179513806,9.394112837285364,8.20805989280673,25.99
CAH,0.8236275958849493,19.471625344352617,18.995809520330685,62.04
CAT,1.224702894133562,13.48582171392762,19.277261472091123,79.56
CB,1.3472169512691023,49.307862141232185,38.66055772255401,61.81
CBH,,,,10.0
CBRE,0.29931357814399934,6.593594778430309,6.663702426893044,28.07
CCL,2.94852443066124,24.821158690176322,40.579309233824446,49.44
CCU,83.2696151363783,2364.91882775941,2104.9542308246923,37.36
CEG,,,,53.01
CELG,0.08220286282833,6.510134150472244,3.4700017943394745,72.69
CHK,181.89603227122254,5288.105726872247,4652.141724394023,44.99
CHRW,0.35386887611072915,6.028283824893994,6.9280224808248,55.03
CI,0.9782918292668576,15.13489565282636,18.252198688493575,54.48
CIEN,-0.9591394688981318,9.28445669052317,,39.17
CINF,1.0893258781761779,37.92353528277126,30.487694049364027,44.39
CL,0.34511788796731024,1.981971199571793,3.9230483777523957,71.56
CLX,1.0098438902432718,-4.430441374897411,,61.19
CMA,1.292379961614024,33.6596685826733,31.285369212994144,53.19
CMCSA,0.06963540945579492,6.784580498866213,3.2603770369464757,24.35
CME,0.543383475957541,46.809132720105126,23.92267664769545,608.3
CMI,0.8456002504533232,16.148641334187708,17.528381015515247,132.59
CMS,-0.03518034068691146,11.309417040358744,,16.98
CNP,-0.0185496548656585,5.532307700210989,,16.4
CNX,0.5132314504504188,6.82650983211459,8.878656413536334,47.33
COF,1.6094161375538907,63.74438414653119,48.04480109009598,68.32
COL,0.6956900891658301,9.656230816451812,12.294276788340254,74.77
