Ticker,EPS,BVPS,GrahamNumber,ClosingPrice
A,0.6795696889519837,16.92792792792793,16.088300131559286,57.44
AABA,0.4432090703813696,12.631005505419832,11.223144153082924,35.13
AAPL,0.37798711515520284,5.028577320925018,6.539617135934247,92.93
ABBV,0.6863798650280908,3.273525721455458,7.110193261390162,56.44
ABT,0.6527023912906672,15.695960083788922,15.182483008604605,40.9
ACN,1.114559753191866,8.850702084345079,14.898131340567637,80.84
ADBE,0.28775366882986325,13.32893111696199,9.289650084149706,72.36
ADI,0.5661250114907337,15.731138033991732,14.155574547002939,54.07
ADM,0.4938073911050838,30.76829268292683,18.489354575445816,44.11
ADP,0.7250404689982383,13.939811912225705,15.079982584479847,79.28
ADSK,0.2683842907972785,10.082378854625551,7.802815018638049,56.38
ADT,,,,12.39
AEE,0.003127093651551539,27.089859851607585,1.3805911404815394,40.88
AEP,0.8372604525376973,33.95716988572418,25.29223985873869,55.77
AES,-0.09215168410541968,5.808275862068966,,15.55
AET,1.3423940844786424,41.187780269058294,35.270812766149504,81.08
AFL,0.7578138765305724,19.39857565532892,18.18684884393305,62.25
AGN,-0.04544494688429701,32.658569500674766,,223.05
AIG,1.5601797140269313,74.98697770200955,51.30639465119787,54.58
AIV,0.15958704187106176,7.955338450802512,5.3446516196147416,32.27
AIZ,1.554586565394384,73.62699128910582,50.74780250355869,65.55
AKAM,0.34107679682497793,15.570128287521568,10.931089303239238,61.06
ALL,1.0049147970936372,52.664057103384756,34.50746340734061,58.72
ALLE,0.25182968002137934,-0.438213914849428,,56.68
ALTR,,,,18.31
ALXN,0.3907542287272373,14.562270062664242,11.315080364461284,156.25
AMAT,0.13693659499860117,6.147203947368421,4.352009477193072,22.55
AME,0.4944493941270748,13.955562987100379,12.460224413415084,52.28
AMGN,1.4420556655316508,32.12384716732543,32.28464736747292,118.37
AMP,1.4461116315747011,43.736377789309806,37.7236385372818,120.0
AMT,0.37587325189861365,11.131107950566538,9.702444496559309,89.98
AMZN,0.005369414787126308,1.149812142858101,0.3727075425199934,324.78
AN,0.6767496076918753,17.842989084802685,16.483106713292525,59.68
ANDV,,,,58.67
AON,0.8372814285314676,25.79564489112228,22.04449645824122,90.09
APA,1.6708875597208224,85.07792207792208,56.555299806076476,100.62
APC,0.07811392020091218,38.27920792079208,8.202324508319258,109.47
APD,1.348746774715262,36.15171441991545,33.122332874459254,128.62
APH,0.22919467835717613,4.737496370883472,4.942742308801446,96.34
APTV,0.9156597365722262,10.324435046914234,14.58449735831089,68.74
ARG,1.113123175273969,25.995987720809996,25.516202086396998,108.91
ARNC,,,,6.92
ATI,0.3254027214152237,26.85060690943044,14.02099720417664,45.1
AVB,1.0626930365314857,67.82366246940835,40.270386277161506,142.19
AVP,66227.46252241511,2.170810313075506,1798.54477833631,14.61
AVY,0.5198383984899432,15.184785429397754,13.326919266214901,51.25
AXP,1.1453173663905423,19.011406844106464,22.134071573178776,94.87
AZO,6.715939149346144,-54.673903183865995,,536.24
BA,1.4885859275882665,19.266922444505344,25.40296373306797,127.23
BAC,0.12984423882707324,22.56896071329061,8.120043984551138,15.37
BAX,0.9866410489050599,15.981549815498155,18.835636281914137,72.3
BBBY,1.1565639373029242,19.508899453458838,22.531622560251456,57.38
BBY,-0.2095479082281445,10.915371329879102,,31.01
BCR,,,,143.01
BDX,1.5273236373279107,27.857490650284376,30.940533104706898,118.3
BEAM,,,,18.75
BEN,0.8151429785529485,18.124679075738126,18.232378066507213,57.84
BHGE,,,,37.25
BIIB,1.7368799581003598,40.40082227320936,39.73482120489557,315.31
BK,0.5055146593457504,33.810416071195434,19.610261896715965,37.48
BKNG,7.847293474873348,149.34761532148787,162.3866612810444,1203.0
BLK,3.8537576455723466,158.69316506217984,117.30393198254322,319.6
BMS,0.47151268296129345,16.88545816733068,13.38426026640798,40.66
BMY,0.39252451037238484,9.249849124924562,9.038408666493098,48.51
BRCM,0.30191764337903365,14.825641025641026,10.035574647274256,57.49
BRK.B,,,,126.56
BSX,-0.19314805741869767,4.945586457073761,,12.77
BTUUQ,,,,7.75
BWA,0.6481258858295527,16.816732402779365,15.659999702090454,65.19
BXP,0.7257863318284945,37.177314832960974,24.639657193162734,118.18
C,0.8735667411246735,69.66906190256444,37.00490434627981,47.1
CA,,,,25.195
CAG,0.33459702891233556,12.690047393364928,9.774260763759797,29.68
CAH,0.6219155764391738,18.882005899705014,16.254777932271665,68.56
CAM,210286.12890505046,24.105263157894736,10679.539114751271,67.71
CAT,1.7971245986142736,33.30033530257065,36.69481112600176,108.67
CB,1.9787617762415635,89.75977082686269,63.21627227240599,103.699997
CBRE,0.2388518222660191,6.460370838169401,5.89229202537075,32.04
CCI,0.14146893736114033,20.64528921840021,8.106479529543693,74.26
CCL,0.4160338980684829,31.39819587628866,17.143834489735024,37.65
CELG,0.8134462010489103,6.022718808193669,10.499097533907218,85.88
CERN,0.28938115362617983,9.537400376841784,7.880275266893781,51.58
CF,1.4008844351590892,17.543248532289628,23.51513205890564,240.53
CFN,,,,44.35
CHK,59.1067666591316,4917.1471927162365,2557.210416516572,44.99
CHRW,0.7537380348022178,6.833040195905998,10.764861889601827,63.79
CI,1.4176198301308436,41.21306669379788,36.25672852901568,91.97
CINF,0.572592699830837,38.79510703363914,22.356439547117045,48.04
CL,0.6162783068911968,1.941927737146599,5.189150084932944,68.18
CLF,0.34181544979021555,39.37368947069314,17.40163917472484,15.05
CLX,1.083544003898222,1.193752180148056,5.39475373683978,91.4
CMA,0.6809968971122634,41.167597765363126,25.115486112058548,50.16
CMCSA,0.30103426657047433,10.969716345798291,8.619794752746696,53.68
CME,0.8705847377435968,64.24900552833459,35.47561953840795,70.95
CMG,2.3869805659082575,56.46024026538697,55.06644773226039,592.51
CMI,2.17542166849326,42.598468271334795,45.66253054471355,154.29
CMS,0.4124059254676876,13.600746268656716,11.2340169983614,31.15
CNP,0.40160873129939023,10.296133074902333,9.64561460891826,25.54
CNX,0.5329144489485692,21.992642442248947,16.23897875116429,46.07
COF,1.7148114288649847,77.20704845814979,54.57929464926951,82.6
COL,1.0272531467625974,14.400887573964496,18.24419179415498,78.14
COP,1.962724273594481,44.751172478291856,44.45525594501201,85.73
COST,1.0664189594375952,26.895227172394332,25.403455551125447,115.16
COV,,,,90.18
CPB,0.5348285993789896,5.06687898089172,7.808521962759413,45.81
CRM,-0.08008020278817127,5.129461953398464,,58.08
CSCO,0.3837685102652287,10.848920863309353,9.67874834098892,24.85
