Ticker,EPS,BVPS,GrahamNumber,ClosingPrice
A,0.7924387583988486,8.798342541436464,12.524908059096994,29.66
AABA,0.10807474912359097,8.509592322621247,4.548914293186327,17.3
AAPL,0.03534666296055258,0.8447148245965531,0.8196350587687943,113.66
ABI,,,,9.77
ABT,0.516007731888127,12.51639936621682,12.054773912781172,57.58
ACAS,,,,25.51
ACS,,,,59.64
ADBE,0.2936297140688983,8.231540692200504,7.374487178471466,39.47
ADI,0.4534873152708651,8.231940656252583,9.164841243722883,26.35
ADM,0.7510572998089076,21.013975155279503,18.844382116786242,21.91
ADP,0.5956060406826891,9.578916256157635,11.329976110770255,42.75
ADSK,0.3638235114470795,5.619536128456735,6.782454257610165,33.55
AEE,0.7479767751569564,33.49025202092249,23.740754850690305,39.03
AEP,0.6881460936672515,27.137357153862617,20.498182654869215,37.03
AES,0.2174169050540199,6.321375186846039,5.560882227507629,11.69
AET,0.81340576357634,19.073861304883053,18.683756211708904,36.11
AFL,0.3929226345133199,6.83696674289008,7.774572474140765,58.75
AGN,,,,28.5
AIG,-8.701211162899968,526.6144368305002,,3.33
AIV,2.761123715785973,293.51851851851853,135.0367402092354,35.02
AIZ,1.1683421974733263,31.692617472041462,28.8639221636933,55.0
AKAM,0.286682601775392,8.93985427389303,7.593764900329843,17.44
AKS,,,,25.92
ALL,1.0702862060906377,31.360859100166635,27.481168741273706,46.12
ALTR,,,,18.31
AMAT,0.23925631671150618,5.583598538643462,5.482517893989096,15.13
AMD,-0.7149045697697339,2.202302631578947,,5.25
AMGN,0.7530473142374151,18.744801512287335,17.821440872771255,59.27
AMP,0.6494813980004193,30.657234139662254,21.166112632619043,38.2
AMT,0.04521718748177101,7.216158820103117,2.709543160941316,35.97
AMZN,0.01188424723964454,0.295901639344262,0.28128772709296285,72.76
AN,-0.29453539306948234,12.041878890775326,,11.24
ANDV,,,,16.49
ANF,1.2149552356054352,20.10139103198913,23.44144900040343,39.45
AON,0.86706913867483,21.85649574704457,20.649445299847656,44.96
APA,2.431603877056074,56.0385455088479,55.3708384602193,104.28
APC,2.9984960526523015,102.83391116595587,83.29351250831671,48.51
APD,1.012022690895889,24.0243553008596,23.389032380986478,68.49
APOL,-13.689053119298087,5.083261734578847,,7.57
ARNC,,,,6.92
ASH,1.067226016622346,46.550084147054825,33.433334708762864,29.24
ATI,1.5179043996233368,23.885858585858585,28.561689748958322,29.55
AVB,1.254273107748208,41.76219873627504,34.330410176624525,98.42
AVP,0.3482836451634165,2.485915492957746,4.413681395700141,41.57
AVY,0.7573786036876827,21.30558375634518,19.054365607727878,44.48
