Ticker,EPS,BVPS,GrahamNumber,ClosingPrice
A,0.35264331958364853,13.61993769470405,10.3955303340722,59.31
AABA,,,,54.48
AAL,1.6821591676257972,7.5689970620474405,16.925596014535387,50.32
AAP,1.5771296122518417,40.98120137702963,38.13443313254847,116.59
AAPL,0.5371733411017187,6.414435632806593,8.804966550392129,144.02
ABBV,0.7405566680607224,3.767398119122257,7.923027544000888,72.51
ABT,0.43066515931883065,18.18879537237079,13.275873239803953,48.61
ACN,1.3768072789949088,13.185131957383662,20.210175090836543,123.68
ADBE,0.4507548270824156,15.785711540523211,12.653000739191564,141.44
ADI,0.5784495369673455,29.20049162652791,19.49481326822953,77.8
ADM,0.7181009786499192,30.492119089316986,22.196158734809032,41.38
ADP,0.8321883421883616,8.951159126716183,12.946182107955174,102.46
ADSK,-0.3189964146715164,2.310595725329695,,100.82
AEE,0.6557169129304328,29.505358615004123,20.864111770778948,54.67
AEP,0.7371587658495433,36.24325981632123,24.51802041810642,69.47
AES,-0.006515345983151921,4.577272727272727,,11.11
AET,1.5134188131753392,46.32781954887218,39.71840074536923,151.83
AFL,0.7923511606764794,27.120597932059137,21.988709332710087,77.68
AGN,2.432987506144474,224.40334128878283,110.83472753647824,243.09
AIG,0.5278671608713567,79.64559942119388,30.756327315743782,62.52
AIV,0.056333946553594826,9.835526315789474,3.530816521784103,42.97
AIZ,1.5752429498623302,76.49052920470363,52.06775637927307,103.69
AJG,0.5589513604694839,21.376070276882018,16.396162055858568,57.25
AKAM,0.4521677896545949,19.03686727032945,13.916781574789026,49.81
ALB,0.85325154276744,33.97746779177132,25.540259460014248,105.54
ALK,1.5532198875252747,26.41353693768056,30.382325365391306,89.76
ALL,1.480382528622351,59.133663366336634,44.380851132798334,88.44
ALLE,0.5594663302517746,2.7867647058823533,5.922817996839953,81.12
ALXN,0.5033132411504471,39.620535714285715,21.182177780994785,121.67
AMAT,0.3835809918979664,7.617810760667903,8.108394827123918,41.31
AMD,-0.1711889040713989,0.49575757575757506,,12.48
AME,0.5950018079115507,15.60752178937947,14.454976058030791,60.57
AMG,2.6636697781033076,63.94316163410302,61.9053956543817,165.86
AMGN,2.3531595892196964,43.217983651226156,47.83537691658251,172.23
AMP,2.153540936580085,40.29658284977434,44.187754721798214,127.29
AMT,0.5429232348021612,15.17140018087096,13.613610006542073,132.32
AMZN,0.027936538463516077,2.356751269035533,1.2171228905570335,968.0
AN,0.9791151553477321,24.6897233201581,23.3220250276955,42.16
ANDV,,,,93.6
AON,1.3740110424367107,20.910823170731707,25.425642444550007,132.95
APA,-6.007253568705922,18.10761154855643,,47.93
APC,-2.7968750723764924,20.782608695652176,,45.34
APD,1.725823195388446,43.15635029802843,40.936599558152686,143.06
