Ticker,EPS,BVPS,GrahamNumber,ClosingPrice
A,0.4188116352743668,12.379310344827585,10.80062415809558,34.93
AABA,0.16462708678523125,9.841997582872928,6.037866865032078,16.13
AAPL,0.1846220828898518,3.454428199954981,3.78809766413901,405.0
ABT,0.8246752488083247,15.533218218476584,16.977098205527177,56.23
ACN,0.7593533854216438,5.845795351363116,9.993900691779112,53.23
ADBE,0.32589618667280934,11.765701706736003,9.28837659090587,28.27
ADI,0.509886320651738,12.745352398350505,12.092159397543794,35.78
ADM,0.6144813810678436,26.99249249249249,19.318220452933264,28.6
ADP,0.6509610378275662,12.69452800033852,13.635687376924125,54.01
ADSK,0.16281203424103755,8.047115808014091,5.429434972969992,30.33
AEE,0.4480610971744291,32.64220939818632,18.14051662814068,33.13
AEP,0.7638188593037002,30.30828504936302,22.822705658220208,41.31
AES,0.07974138944913209,7.6426735218509,3.70301790828992,11.84
AET,0.9908271979128742,28.89009420496717,25.378426852196693,42.19
AFL,0.49411359110298386,14.49493117429763,12.694416337302115,43.26
AGN,,,,60.34
AIG,-42.03819151001176,55.944835921596464,,23.2
AIV,-0.12950443837142955,7.773972602739726,,22.91
AIZ,1.0170633683684303,56.62695613731879,35.99787579654025,41.06
AKAM,0.2416916995906104,12.051745020298604,8.09556369762134,32.28
AKS,-0.27274396028255943,3.538251366120218,,8.26
ALL,0.21363210869323757,37.44535793061961,13.41601440251741,27.41
ALTR,,,,18.31
AMAT,0.1606995756338391,6.67172100075815,4.911538608756644,10.71
AMD,-0.025029227831262157,2.392318244170096,,5.4
AMGN,1.1123212030048726,24.056890012642224,24.53726245706532,64.21
AMP,0.7676522072084317,45.11658600967884,27.915256647949303,49.64
AMT,0.21290192270550337,8.345633877908526,6.322818495185948,60.01
AMZN,0.02526945714706238,0.852417582417582,0.6961701769911083,173.1
AN,0.37886794184502803,13.95139911634757,10.905462028454172,36.87
ANDV,,,,23.36
ANF,0.3434479068032721,22.207745912007542,13.100079640471773,48.84
ANRZQ,,,,20.43
AON,0.6100510793517026,24.43764702596619,18.314878958449288,46.8
APA,0.8387671197344226,75.50260416666667,37.747911083393376,90.58
APC,0.00622193533672928,36.355421686746986,2.255997421247521,76.33
APD,1.136816554852719,28.097955301949597,26.808580095881258,85.19
APH,0.16103207700014252,3.3337592975956563,3.4754782603237797,45.39
APOL,1.3061519662808239,10.157583756656793,17.277596184638565,7.57
ARG,0.9331832807123189,21.52025263597453,21.2568259395288,78.08
ARNC,,,,6.92
ATGE,0.883092451526032,19.856183779554726,19.86288084005853,38.46
ATI,0.3311322326025269,23.373937677053824,13.196474672183891,47.8
AVB,0.6762614411874688,46.12715130242518,26.49274072075473,130.6
AVP,66227.79599892024,3.6478513356562132,2331.4707733692776,17.47
AVY,-0.21016743970269566,16.408067542213885,,28.68
AXP,0.7399926621776468,16.201724137931034,16.424251336838676,47.17
AZO,4.025210595644012,-33.791521384673274,,324.97
BA,0.8840501010106478,4.67109634551495,9.639158257434444,73.35
BAC,0.04277527751783254,22.38032438587869,4.641099352229406,5.56
BAX,0.9234108856303223,11.717081850533807,15.60265429001101,49.48
BBBY,0.6920004904008342,16.444403327137703,16.001235616395036,57.97
BBY,0.7005996308138805,17.72588268001112,16.715914703748158,23.37
BCR,,,,85.5
BDX,1.3673821030402162,22.060447970135325,26.052137899542725,74.72
BEAM,,,,18.75
BEN,0.5450739343659532,12.762059231837112,12.510634728599815,96.06
BHGE,,,,37.25
BIG,0.5975066477812784,11.550678224453032,12.461386683415117,37.76
BIIB,1.0180423810911685,26.452969431056268,24.615655378169386,110.05
BK,0.2520893506212211,27.732088292555815,12.54179783378034,19.91
BKNG,3.4351529823145586,51.84466508237,63.301840472320094,467.71
BLK,2.168230295836966,139.91510803872848,82.6183028277309,178.24
BMS,0.4105685517263638,15.161213968107942,11.834531988179377,30.08
BMY,0.828351139389771,9.458209839952579,13.277092121169677,35.24
BRCM,0.26352617076663126,11.749549549549549,8.346679610664097,57.49
BRK.B,,,,76.3
BSX,-0.1923984244732841,7.855660116246886,,5.34
BTUUQ,,,,7.75
BXP,0.3090681250283086,32.80234321808242,15.103263590572906,99.6
C,-1.7831138150035397,60.992727771679476,,26.31
CA,,,,25.195
CAG,0.41536860743693044,11.33389748549323,10.29195158102197,26.4
CAH,0.6568536760305789,17.18173913043478,15.935259377856134,40.61
CAM,580408.4802051968,18.889344262295083,15706.03549261899,49.19
CAT,1.1092562018439216,19.82,22.241241044786527,90.6
CB,1.6533746700660734,72.4110007999856,51.901412095709716,70.12
CBRE,-0.20674182024459953,3.5908441412430943,,15.22
CCL,0.590582508930251,30.632390745501286,20.175392662169525,32.64
CEG,,,,53.01
CELG,0.5826425853547008,12.106623944763125,12.598066525844871,67.6
CERN,0.17977112701136058,6.524872886366324,5.137327557079529,61.25
CF,0.5918686502284717,13.905198776758409,13.607944470090565,144.98
CFN,,,,25.41
CHK,-93.01237224875604,5195.0,,44.99
CHRW,0.5890356002037699,7.67380280651288,10.084801358705235,69.78
CI,1.0653977455695758,31.0683660437355,27.290176999871925,42.0
CINF,0.535603944015967,31.073407535196214,19.351185794984183,30.46
CL,0.5791038061680652,2.455034112052925,5.65585457447868,92.39
CLF,1.6370830712385767,40.67470082825925,38.70693663229927,62.35
CLX,1.008259011682298,-1.517786320092745,,66.56
CMA,0.30758703937697657,34.86294416243655,15.53307020601516,25.8
CMCSA,0.1646494764324434,8.253142458100559,5.529439452113938,23.71
CME,0.8478180854223324,65.14819461028067,35.25281402274459,243.67
CMG,1.3187273015525762,33.38211693999553,31.472097996937524,337.74
CMI,1.3251360727758317,28.500259470679815,29.150493013524645,88.02
CMS,0.3398882408665254,11.846635367762127,9.518244126153533,22.08
CNP,0.42503464201116004,9.910798122065728,9.735488275725281,20.09
CNX,0.6454799841100516,15.888135760228982,15.19039684821125,36.7
COF,0.8615377150233251,58.31727933949283,33.62227016044249,42.29
COL,0.9540031288515305,8.602590320381731,13.588789748985059,55.37
COP,-0.23055319097388796,50.81757360577736,,72.87
COST,0.7345144463737484,27.426063165846042,21.289877666525925,83.32
COV,,,,45.01
CPB,0.6020044221491029,3.646875,7.028320192838593,33.24
CPWR,-0.17563714319546017,-5.51570903482328,,8.32
CRM,0.024798089139016617,2.757493724557774,1.2403882221272133,101.46
CSCO,0.2945145726049923,8.75305895439377,7.6159586974418785,18.08
CSX,0.111671225564342,2.670899671468284,2.5905422970154124,21.06
CTAS,0.4004989506663257,16.208029168947096,12.0852894122144,34.81
CTL,0.6544799842231177,33.689308452818466,22.27334744611794,37.2
CTSH,0.29045504953626217,6.513713302661586,6.52446708166771,64.31
CTXS,0.36664571095883824,14.694748511952813,11.01021101520498,60.72
CVC,0.24419237165461932,-20.17539955639019,,31.62
CVH,,,,30.37
CVS,0.6424586481264054,29.29253271747498,20.577485799339488,40.78
CVX,2.748732821261192,61.5276842137811,61.68688039469025,106.4
D,0.7683872943513053,20.063102541630148,18.624318625409085,53.08
DD,0.7753010458380373,57.90788096631576,31.783028729144217,45.78
DE,1.075828011989032,16.56993177387914,20.027329504440715,77.35
DELL,,,,42.1733
DFS,0.683698607889671,15.492877819548871,15.437950882231174,24.0
DGX,1.0182641857421861,23.32831332912192,23.118686910773732,58.06
DHI,-0.048797129352985774,8.376225102750553,,12.61
DHR,0.6246627723416952,23.676166666666667,18.24188718141686,47.04
DIS,0.5566342235664313,20.721357063403783,16.10962045658393,37.5
DISCA,0.35970559484767123,17.70923913043478,11.97194758189058,23.92
DNB,,,,25.35
DNR,0.1602279773507472,12.440239461444689,6.696915271226761,15.1
DO,1.9842045293146668,31.173381294964027,37.305806492947134,7.5
DOV,0.8565817010318317,26.834850901016125,22.741821611600937,58.05
DOW,,,,49.8
DRI,0.7671362207019407,13.153491941673062,15.067737128921893,45.58
DTE,0.9221650360029374,41.22941176470588,29.248200707881985,54.45
DTV,0.8473271564446668,-4.159303882195449,,52.0
DUK,0.7773997685316544,51.09653576370106,29.895731956218913,22.0
DVA,0.5460424734586288,11.416741670059043,11.843377130617677,75.81
DVN,0.048992513285376606,53.575,7.68488208975526,62.0
DXC,-0.968591593575983,20.572548867864906,,62.25
EA,-0.4636877140969699,6.822289156626506,,20.6
EBAY,0.4625416780190183,13.915041617353175,12.03397069700553,30.33
ECL,0.48438806055115663,19.439794168096054,14.555723766905203,57.81
ED,0.8398834348953071,39.7712529873677,27.41482031320312,62.03
EFX,0.49325619829467793,14.186666666666667,12.547803731954895,38.74
EIX,0.5299669655497874,30.84355828220859,19.177760746905573,41.4
EL,0.3966200415317497,6.834798345398139,7.809827468087323,112.32
EMC,,,,25.15
EMN,0.685711916696675,13.443565780014378,14.401885234602396,39.06
EMR,0.6477315618144857,14.071905215851832,14.32073272291977,46.59
EOG,0.35736019507692784,48.112752393095704,19.668645303373175,98.51
EP,-0.1461924643318116,0.12086014604665901,,0.024
EQR,0.40528640301883695,19.163018750570426,13.219171538301005,57.03
EQT,0.48176488115623733,24.048487362905764,16.145545044020512,54.79
ES,0.5250035135669914,22.618038570472685,16.345561131040057,36.07
ESRX,0.5180104797077832,5.097259427158459,7.707772734311184,44.69
ETFC,-1.401598038648867,17.363736623832395,,7.96
ETN,0.6453798620214446,22.091097308488614,17.91049580523193,43.53
ETR,1.6885009108879383,51.403150929984136,44.191300176338316,73.05
EW,0.08158263916347308,1.9542798714577851,1.8940154343340312,70.7
EXC,0.9862504981682954,21.69683257918552,21.94234533151951,43.37
EXPD,0.3797333224799654,9.451636150684829,8.986366171225958,40.96
EXPE,-0.8259073093765785,16.15456468100106,,29.02
F,0.4126313833399887,3.9547368421052633,6.059421755648723,10.76
FAST,0.11323670066108146,2.4716341853468142,2.5094408259153664,43.61
FCX,-0.3314716068825555,16.482613277133826,,36.79
FDO,,,,57.66
FDX,0.9230932355247811,50.53015873015873,32.39584963479994,83.51
FE,0.6948789514578984,31.770334928229666,22.287262797478647,44.3
FFIV,0.5304961366983407,14.761706529417701,13.273964607868372,106.12
FHN,-0.05176921395455961,9.457005956380666,,8.0
FII,0.09417810342193762,5.386784482501565,3.3785552810863146,15.15
FIS,0.2775189208783892,22.447359337245427,11.839140853391354,26.59
FISV,0.19412360104624443,5.813704496788008,5.039145580110058,58.74
FITB,0.017664170603617767,14.423759814515758,2.3942920597657427,12.72
FLIR,0.383480701496859,10.221244781046703,9.391066375718745,25.07
FLR,0.7951179908105962,20.10947456944543,18.967382867914864,50.25
FLS,0.6266402392202882,13.890294351630867,13.994459294495417,99.32
FMC,0.43551968619522824,9.288461538461538,9.540410196920904,86.04
FOXA,,,,38.0
FRX,,,,30.26
FSLR,1.2553597384543786,42.33751612116142,34.58103954777904,33.76
FTI,0.8664342346427328,20.38194747157795,19.933423785352655,52.23
FTR,1.1267370332446882,67.5,41.36703843932232,0.26
GAS,,,,42.26
GD,1.6553686444101663,37.86210731164859,37.55268656484393,66.41
GE,2.361767250949141,88.13174332765475,68.4346401035834,17.91
GHC,4.200976815354916,333.7792873622148,177.62172888535594,376.81
GILD,0.4033004708132108,4.392807089134366,6.313594559590341,40.93
GIS,0.614503757468984,10.176852854711434,11.862064414116773,40.41
GLW,0.425445456714923,13.633893919793014,11.424130604731193,12.98
GME,0.14980688597433744,5.336995677233429,4.241364263354293,24.13
GNW,-0.09099422206196824,33.674674267100976,,6.55
GOOGL,0.15144918277300215,4.50348407113366,3.917410126550394,645.9
GPC,0.7441485196743517,17.863006225531095,17.294115094228168,61.2
GPS,0.40787882025169675,5.286282306163022,6.9651746774572585,18.55
