Ticker,EPS,BVPS,GrahamNumber,ClosingPrice
A,-0.2658088919564276,8.627906976744185,,33.29
AABA,0.10428092105024805,6.1399718174181555,3.7955688793270426,39.18
AAPL,0.008318308840887417,0.36024621926321604,0.2596620582379205,71.89
ABI,,,,9.77
ABKFQ,,,,0.1531
ABT,0.4937059642475322,9.422595632808711,10.230826575049264,39.43
ACS,,,,59.64
ACV,,,,24.98
ADBE,0.22359539500062464,3.11525254365019,3.9588524559578766,36.96
ADCT,,,,29.65
ADI,0.2729044202922378,10.082349406639628,7.868236695731926,35.87
ADM,0.28789759961208006,13.570731856659574,9.375877310764483,24.66
ADP,0.42945162842858725,10.162964248524817,9.909656138801495,45.9
ADSK,0.17766749108739616,3.384586236933798,3.678307527166752,42.93
AEE,0.6829304588169098,31.07421875,21.851417243215067,51.24
AEP,0.17066485316248567,23.065989847715738,9.411294269874643,37.09
AES,-0.3257159138019091,2.512761904761904,,15.83
AET,0.6338898882271012,17.860291258578982,15.960351050841343,94.31
AFL,0.28595160926754815,7.9582440662039176,7.155601700603929,46.42
AGN,,,,32.51
AIG,17.062667972941632,662.7024952015355,504.39878510007765,68.23
AIV,0.28884096866758785,20.133432171979244,11.43877620862684,37.87
ALL,0.900359428992092,31.383706467661693,25.21455652564178,54.07
ALTR,,,,18.31
AMAT,0.1201345641696905,5.425937888742297,3.829681498272016,17.94
AMCC,-0.12911295831180847,3.006617729574154,,10.28
AMD,-0.20198882512276517,7.22254137217721,,30.6
AMGN,0.5357384014261231,17.01414309484193,14.320978354270471,78.86
AMP,0.6795101770832604,30.467697185889815,21.58286315522852,41.0
AN,0.4229725286707842,17.76826484018265,13.003787062419372,21.73
AON,0.5024105930493238,16.337525249224743,13.589822639092072,35.95
APA,1.316814167906311,31.96724493215325,30.77557023518474,68.52
APC,2.6300172524044796,95.89159084620437,75.32876018783033,94.75
APD,0.6512306258716273,21.21081081081081,17.62939068687011,59.19
APOL,0.4706901998965967,3.248265058617437,5.86522351829407,7.57
ARNC,,,,6.92
ASH,2.6699538899258077,51.380606372003676,55.55750733805247,57.9
ASO,,,,12.99
AT,-0.0696341304347825,7.708170543478261,,10.92
ATI,-0.04186405370042408,8.116058561923305,,36.08
AVP,0.5581508951904262,1.703862660944206,4.625773509746222,28.55
AVY,0.6984256825013585,16.010978043912175,15.862085645534027,55.27
AXP,0.663417709696195,8.5625,11.305377841260219,51.46
AYE,,,,45.76
AZO,1.6225215232398646,6.806314305113072,15.763131278860183,91.75
BA,0.5551158101778195,14.353017521090202,13.38920111017157,70.24
BAC,0.9445378010396925,22.02699175894206,21.636077349856826,46.15
BAX,0.279988450064143,6.706708268330733,6.500039937904353,37.65
BBBY,0.37811837499302975,8.94327812701619,8.722751878347024,36.15
BBY,0.394314372566565,9.888006515984525,9.36627564290643,43.48
BC,0.6518147126480417,20.698744769874477,17.423096550926157,40.66
BCR,,,,65.92
BDX,0.5979281666434582,13.755402541995482,13.603555014260344,60.08
BEAM,,,,18.75
