Ticker,ClosingPrice,EPS,BVPS,GrahamNumber
AABA,171.4,,,
AAMRQ,38.69,,,
AAPL,135.81,-0.001851110739351584,0.24472852321472302,
ABI,9.77,,,
ABT,35.19,0.37941689211535584,5.086066743924355,6.589320286197852
ACV,24.98,,,
ADBE,111.3,0.09020752806404618,1.341599369457463,1.6501524663946714
ADCT,29.65,,,
ADI,80.5,0.12332762543053269,4.998683276466143,3.724339420921836
ADM,10.31,0.10699445211437131,8.232375465604262,4.451787989920197
ADP,48.25,0.28013531137335657,6.885718333646806,6.587942707102954
ADSK,45.5,0.05112143916330269,2.5518981442250652,1.7132646844391268
AEE,30.94,0.6552072508237923,24.043398257843567,18.82688767805563
AEP,29.81,0.6728451469358041,25.628865979381445,19.697609173530076
AES,78.75,0.18922895076207907,6.895219700627716,5.418250802384058
AET,55.5,0.32828434499180964,19.716283953212113,12.067821496574567
AFL,45.56,0.12817813536399641,3.828132206574184,3.3227043328777617
AGC,20.0,,,
AGN,39.69,,,
AIG,109.5,9.35502494064719,291.7068965517241,247.79188663776668
AL,27.95,,,
ALL,23.81,0.897223760974051,21.386138613861387,20.77819563139265
AM,28.03,,,
AMAT,94.25,0.09183605819547618,2.97990467312203,2.4814130504614984
AMD,59.0,,,
AMGN,61.38,0.21654834866248057,3.236242791515981,3.9709026969200525
AON,32.25,0.39016986040821194,11.90409836455872,10.222717786218777
APA,49.75,0.09924806944280638,10.522824420070942,4.8475071116500015
APC,38.69,,,
APD,28.44,0.507419459829524,13.705110173464604,12.508812534580542
ARC,13.75,,,
ARNC,6.92,,,
ASH,33.25,0.5985582869849431,26.53090909090909,18.90255667088914
ASO,12.99,,,
AT,10.92,,,
ATI,20.06,0.7438188511192384,12.387288195580089,14.39835808929907
AVP,29.25,,,
AVY,61.06,0.5317669289321393,8.197368421052632,9.90351009431708
AXP,148.9,0.40838343366708124,7.703230653643876,8.413210751844597
AZO,27.75,0.37667267301586305,8.594782617488269,8.534749217562904
BA,37.81,0.28385093250256893,13.613397134397472,9.324373871759258
BAC,52.44,0.48343928480442233,13.568172737135262,12.148507060261746
BAX,62.69,0.21457737926468523,4.663793103448276,4.745181902239311
BBBY,39.38,0.08998156580343225,1.9844134915056901,2.004398724371128
BBY,86.0,0.11539270410641395,2.389768667226962,2.4909118904032415
BC,18.94,0.3451819468114902,14.152078774617069,10.483961432310188
BCR,38.69,,,
BDX,26.31,0.29344940213126997,7.436492035468449,7.0071583534018105
BEAM,18.75,,,
BEN,33.44,0.15760660539094914,3.651845709740921,3.5986091242012903
BFO,15.01,,,
BGG,41.12,0.5331462908235453,9.140043763676148,10.471010442540793
BHGE,37.25,,,
BIG,11.38,0.290561677816274,11.839374703921605,8.797814672463145
BK,41.56,0.44945738981211086,7.136612021857924,8.495355658095479
BMS,36.88,0.26232687671560984,7.185612904427515,6.512452401851523
BMY,57.13,0.4546396279182814,4.457995951417004,6.752968714854394
BR,19.51,,,
BSX,21.31,0.03377356682248193,2.183018868954254,1.2879780693089156
BUD,38.5,,,
C,59.88,4.716887110941792,101.14762335443675,103.60884721063205
CA,25.195,,,
CAG,18.13,0.28506741472318475,6.469456066945606,6.441676808297793
CAH,45.88,0.261364175097126,8.54233825198638,7.0876566500641465
CAR,18.69,1.000900278196404,35.65100867372617,28.334958112534526
CAT,39.44,0.45853758330654826,7.775348837962728,8.956506990691638
CB,67.56,1.2150180602345066,20.94236647126575,23.927399638267076
CCK,16.0,0.36960454201306203,22.4347313601975,13.659045307610896
CCL,24.81,0.163407600004633,2.998723992942167,3.320439962138642
CCU,47.63,65.30161165425758,2442.7637904242583,1894.497104542723
CEG,53.01,,,
CEN,20.0,,,
CG,22.05,,,
CHA,17.96,,,
CI,75.75,0.5535247688879739,11.56110701334536,11.99939912962938
CINF,37.63,0.3698203393786014,26.8981095304697,14.960549117329373
CL,56.38,0.18124790366281102,1.428917329643721,2.413966877645837
CLX,33.0,0.3206987414023094,7.314187828343432,7.264787931930371
CMA,41.88,0.935901147488852,20.156932140050543,20.6024308806967
CMCSA,41.25,0.053569883808020705,6.672471549221047,2.83592653749919
CMI,37.56,0.19673072812062622,9.450261780104713,6.467691228014586
CMS,18.13,0.6511797756091965,21.008849557522122,17.54457476444439
CMVT,4.36,,,
CNC,17.2,,,
CNP,23.56,0.6244743465547936,18.234377836424326,16.00641360971506
COF,47.94,0.36355132171900795,7.849232408689919,8.012862994886728
COMS,1.29,,,
COP,46.25,0.3048603556381446,9.27210525071142,7.975004034202071
COST,52.56,0.2530887069599525,8.889052868820462,7.114680258102932
CPB,30.75,0.4186806109508452,0.620608899297423,2.4179186390749328
CPWR,21.06,,,
CR,72.0,0.44813678426421255,8.834257817568444,9.438035151388096
CSCO,77.31,0.06796313465697852,2.390826219071046,1.9120619749457932
CSR,7.938,1.0133786247739305,49.56821106048417,33.618532463984664
CSX,23.5,0.025970591395026336,1.501266883004827,0.9366150478460035
CTB,12.56,0.41497540891276724,12.990875237692796,11.01340590769572
CTL,37.13,0.43159488879611957,13.520864194880382,11.458601889797844
CTX,25.218,,,
CTXS,66.25,0.11306167831779948,3.734039126185497,3.0820409530852095
CVS,37.56,0.10987027842938478,4.50391676866585,3.3367721320779564
CVX,92.44,0.5213719617105891,13.720562325873452,12.686769531732399
D,38.44,0.2700540119349459,16.208594449418083,9.924057087455038
DD,52.94,1.663674927633501,41.145317547666885,39.2451238608744
DDS,16.44,0.4688952556900253,28.047861386138614,17.202004405439695
DE,38.0,0.3519847966699222,8.68923076923077,8.29552501800391
DELL,42.1733,,,
