Ticker,EPS,BVPS,GrahamNumber,ClosingPrice,KGV,KBV
A,0.263872075685408,11.954248366013072,8.424596572891323,18.86,71.47402752265896,1.5776817933296883
AABA,-0.0230392957751883,3.410538692312153,,9.09,-394.5433093397451,2.6652681057365437
AAMRQ,,,,19.9,,
AAPL,0.006525583988039,0.199242877067144,0.1710378989791572,15.54,2381.3960602581897,77.99526000000033
ABI,,,,9.77,,
ABKFQ,,,,0.1531,,
ABT,0.3658079713158836,5.588189423443152,6.781931532916628,52.79,144.3106879549506,9.446709121659218
ACV,,,,24.98,,
ADBE,0.1299087873915091,1.4071354457658232,2.028049145789765,24.08,185.36082495658704,17.11278048780488
ADCT,,,,29.65,,
ADI,0.2638660742603281,7.530941354805512,6.686635809021526,31.79,120.47778438025438,4.221251833240571
ADM,0.117797529415002,9.71358696554399,5.073984853320327,12.5,106.11427983317343,1.2868572695483107
ADP,0.3287550191680761,7.364594294517381,7.380773341278759,46.95,142.8115078480271,6.375096593569618
ADSK,0.0725684819821989,2.126314522698659,1.8632838982294877,31.0,427.18269906216756,14.579216606513917
AEE,0.8553326385751887,26.17591202576846,22.44448746914334,38.92,45.50276494164055,1.4868631878685192
AEP,0.6053661323211641,26.02173913043478,18.826451880462923,43.84,72.41898358585681,1.684745196324144
AES,0.2270110821356704,9.657250470809792,7.023305119120145,11.98,52.77275403163049,1.24051872074883
AET,0.1489332297426154,17.649044116024903,7.690377474257265,29.36,197.13532064496016,1.6635461845404893
AFL,0.1455991506363872,5.301697993003551,4.167524601729306,26.89,184.68514330247626,5.071959971217845
AGC,,,,20.0,,
AGN,,,,56.54,,
AIG,10.373113141248565,387.6793893129771,300.8030065959404,76.74,7.3979719448777885,0.19794707202772416
AL,,,,27.95,,
ALL,0.7237207420255266,24.10846228913983,19.813514829082973,35.99,49.72912604283295,1.4928368125831262
ALTR,,,,18.31,,
AM,,,,28.03,,
AMAT,0.1786701269174933,4.782441221224169,4.384721889625431,28.42,159.06408357298508,5.942571729658455
AMCC,-0.00016049777177,0.00625081969407,,27.04,-168475.859208497,4325.832662498998
AMD,0.3054310242001051,11.51188961589725,8.894491852090043,7.93,25.96330880521361,0.6888530262702599
AMGN,0.272555048315493,4.872841743775637,5.466502207119439,58.51,214.6722299279242,12.007367174347127
AON,0.3561124273863203,13.278309862895298,10.314691029275943,41.8,117.37866130308964,3.147991004247104
APA,0.3771158460848311,15.260180406185697,11.379114926870733,41.9,111.10644231739526,2.7457080378300036
APC,,,,47.45,,
APD,0.4546646055049813,14.398701900788131,12.136640914556107,38.42,84.50184935184949,2.668296091184236
ARNC,,,,6.92,,
ASH,0.8480481916969196,32.21842109502424,24.794402782719267,38.43,45.315820935957305,1.1927958817924527
ASO,,,,12.99,,
AT,,,,10.92,,
ATI,0.5047763103554259,12.5325,11.930526181372343,12.88,25.51625291395086,1.0277279074406542
AVP,,,,46.28,,
AVY,0.6272021338357047,9.502553626149131,11.580176725862232,47.25,75.3345651282129,4.97234762979684
AXP,0.4268599460969619,9.235649546827794,9.41819513091071,29.38,68.82819591915117,3.181151455675499
AYE,,,,45.76,,
AZO,0.4551336076358853,8.021679137650022,9.063446072955026,53.46,117.46001416526666,6.664440085752581
BA,0.7055107863418596,14.086523073455623,14.953573630857262,32.4,45.924173842893424,2.3000707719745224
BAC,0.4994345401264637,15.675204976958064,13.272024063937645,58.95,118.03348640058626,3.7607163725548847
BAX,0.3040230850397659,6.074702886247878,6.446248755980769,55.5,182.55192691285487,9.136249301285634
BBBY,0.1311376929730924,3.221915104333813,3.083273675672283,24.79,189.037945063488,7.694181627149287
BBY,0.1885279850413876,4.309399862069616,4.2755064771914935,43.35,229.93933760276155,10.059405343550761
BC,0.057000951183559,12.931740614334467,4.072497280319883,16.97,297.71433015831354,1.3122750065980473
BCR,,,,50.62,,
BDX,0.352793878631685,8.936986429726023,8.422622357733369,36.7,104.0267482597526,4.106529677378631
BEAM,,,,18.75,,
BEN,0.1630395938528648,5.034504170202877,4.297502657487218,33.78,207.18893614568734,6.709697491151101
BHGE,,,,37.25,,
BIG,-0.1609478173769294,8.225293589450146,,7.92,-49.208495828507395,0.9628835632272483
BK,0.4978092279337622,8.846785225718195,9.954408810446166,33.93,68.15864008956194,3.8352914798206275
BMS,0.2938127463717728,8.062487077796366,7.300642649491295,40.01,136.17516766741554,4.962488573803148
