Ticker,ClosingPrice,EPS,BVPS,GrahamNumber,KGV,KBV
AABA,171.4,,,,,
AAMRQ,38.69,,,,,
AAPL,135.81,-0.0018511107393515,0.244728523214723,,-73366.76143296449,554.9414437517008
ABI,9.77,,,,,
ABT,35.19,0.3794168921153558,5.086066743924355,6.589320286197852,92.7475838089492,6.918902517753389
ACV,24.98,,,,,
ADBE,111.3,0.0902075280640461,1.341599369457463,1.6501524663946714,1233.8216376018922,82.96068299809147
ADCT,29.65,,,,,
ADI,80.5,0.1233276254305326,4.998683276466143,3.724339420921836,652.732911373078,16.10424096661513
ADM,10.31,0.1069944521143713,8.232375465604262,4.451787989920197,96.360136402018,1.2523724219183483
ADP,48.25,0.2801353113733565,6.885718333646806,6.587942707102954,172.23819361956032,7.007257291403887
ADSK,45.5,0.0511214391633026,2.551898144225065,1.7132646844391268,890.0375408965807,17.829865233048707
AEE,30.94,0.6552072508237923,24.043398257843567,18.82688767805563,47.22169963946389,1.2868397249089607
AEP,29.81,0.6728451469358041,25.628865979381445,19.69760917353008,44.304399215417334,1.163141592920354
AES,78.75,0.189228950762079,6.895219700627716,5.418250802384058,416.1625358215605,11.420955882352942
AET,55.5,0.3282843449918096,19.716283953212116,12.067821496574568,169.06075737904797,2.814932069943034
AFL,45.56,0.1281781353639964,3.828132206574184,3.3227043328777617,355.44283641371516,11.901365350381116
AGC,20.0,,,,,
AGN,39.69,,,,,
AIG,109.5,9.35502494064719,291.7068965517241,247.79188663776668,11.70493939831492,0.3753767953188723
AL,27.95,,,,,
ALL,23.81,0.897223760974051,21.386138613861387,20.77819563139265,26.537415788176634,1.113337962962963
AM,28.03,,,,,
AMAT,94.25,0.0918360581954761,2.97990467312203,2.4814130504614984,1026.2853377198064,31.628528539892784
AMD,59.0,,,,,
AMGN,61.38,0.2165483486624805,3.236242791515981,3.970902696920053,283.4470933586703,18.96643853820598
AON,32.25,0.3901698604082119,11.90409836455872,10.222717786218777,82.65630760474095,2.709151000970874
APA,49.75,0.0992480694428063,10.522824420070942,4.8475071116500015,501.2691962604818,4.727818123156007
APC,38.69,,,,,
APD,28.44,0.507419459829524,13.705110173464604,12.508812534580542,56.04830372401345,2.075138371019054
ARC,13.75,,,,,
ARNC,6.92,,,,,
ASH,33.25,0.5985582869849431,26.53090909090909,18.90255667088914,55.55014561319809,1.2532552083333333
ASO,12.99,,,,,
AT,10.92,,,,,
ATI,20.06,0.7438188511192384,12.387288195580089,14.39835808929907,26.968931978283873,1.6194020582452915
AVP,29.25,,,,,
AVY,61.06,0.5317669289321393,8.197368421052632,9.90351009431708,114.82474121250232,7.448731942215089
AXP,148.9,0.4083834336670812,7.703230653643876,8.413210751844597,364.6083257172106,19.329552326148445
AZO,27.75,0.376672673015863,8.594782617488269,8.534749217562904,73.67139160326438,3.2287029509665053
BA,37.81,0.2838509325025689,13.613397134397472,9.324373871759258,133.2037195250638,2.777411077244201
BAC,52.44,0.4834392848044223,13.568172737135262,12.148507060261746,108.47277341396625,3.864927209872182
BAX,62.69,0.2145773792646852,4.663793103448276,4.745181902239311,292.15567929306616,13.44184842883549
BBBY,39.38,0.0899815658034322,1.98441349150569,2.004398724371128,437.6451959729947,19.8446544374782
BBY,86.0,0.1153927041064139,2.389768667226962,2.490911890403241,745.2810874480567,35.98674682591459
BC,18.94,0.3451819468114902,14.152078774617069,10.483961432310188,54.8696134747263,1.3383192887514497
BCR,38.69,,,,,
BDX,26.31,0.2934494021312699,7.436492035468449,7.0071583534018105,89.65770524293193,3.537958472155164
BEAM,18.75,,,,,
BEN,33.44,0.1576066053909491,3.651845709740921,3.5986091242012903,212.17384840597782,9.15701337293694
BFO,15.01,,,,,
BGG,41.12,0.5331462908235453,9.140043763676148,10.471010442540791,77.12704881896933,4.498884366770409
BHGE,37.25,,,,,
BIG,11.38,0.290561677816274,11.839374703921605,8.797814672463145,39.16552274039292,0.9611994116742125
BK,41.56,0.4494573898121108,7.136612021857924,8.495355658095479,92.46705236590628,5.823491577335375
BMS,36.88,0.2623268767156098,7.185612904427515,6.512452401851523,140.58795828222298,5.132477979335052
BMY,57.13,0.4546396279182814,4.457995951417004,6.752968714854394,125.65996558986443,12.815175388806901
BR,19.51,,,,,
BSX,21.31,0.0337735668224819,2.183018868954254,1.2879780693089156,630.9668182815285,9.761711317780899
BUD,38.5,,,,,
C,59.88,4.716887110941792,101.14762335443676,103.60884721063204,12.694813039111326,0.5920060008742994
CA,25.195,,,,,
CAG,18.13,0.2850674147231847,6.469456066945606,6.441676808297793,63.598991198643915,2.8023994308627604
CAH,45.88,0.261364175097126,8.54233825198638,7.0876566500641465,175.5405077338945,5.370894788593904
CAR,18.69,1.000900278196404,35.65100867372617,28.33495811253453,18.673188935144356,0.5242488416260163
CAT,39.44,0.4585375833065482,7.775348837962728,8.956506990691638,86.0125787631087,5.072441227001455
CB,67.56,1.2150180602345066,20.94236647126575,23.92739963826708,55.604111750372226,3.225996455209424
CCK,16.0,0.369604542013062,22.4347313601975,13.659045307610896,43.28951130539557,0.713179923713566
CCL,24.81,0.163407600004633,2.998723992942167,3.320439962138642,151.82892349741735,8.273519022888774
CCU,47.63,65.30161165425758,2442.7637904242583,1894.497104542723,0.7293847547313113,0.01949840593949841
CEG,53.01,,,,,
CEN,20.0,,,,,
CG,22.05,,,,,
CHA,17.96,,,,,
CI,75.75,0.5535247688879739,11.56110701334536,11.99939912962938,136.85024457384455,6.552140717368961
CINF,37.63,0.3698203393786014,26.8981095304697,14.960549117329371,101.75211039833185,1.3989830756460193
