Ticker,EPS,BVPS,GrahamNumber,ClosingPrice,KGV,KBV
A,-0.4742022466038385,6.625779625779626,,29.28,-61.74580616118699,4.419102604330091
AABA,-7.009274352637608,3.708402632068751,,36.4,-5.193119596795721,9.815546911014373
AAPL,0.001658121355967,0.22912880390955,0.0924568854556868,32.54,19624.619080442993,142.01619108894474
ABI,,,,9.77,,
ABKFQ,,,,0.1531,,
ABT,0.4328704478652833,8.219185262986556,8.94714782107831,40.76,94.1621221799951,4.959129000724006
ACV,,,,24.98,,
ADBE,0.1348607022962039,2.6449109249473013,2.8329538046196845,46.5,344.8002213266607,17.580932333638607
ADCT,,,,29.65,,
ADI,0.1757977485195712,9.600535127406204,6.1623396814500575,47.08,267.80775292329,4.903893311697064
ADM,0.1789998150794615,11.801197255969036,6.8941477244856655,16.78,93.74311360350308,1.4218896300129795
ADP,0.4225210954862658,9.28397003860845,9.39468715825208,41.88,99.11931131344264,4.511001201623577
ADSK,0.0953651725462842,2.8434253739335302,2.470057571529905,42.81,448.9060194299208,15.055784615432906
AEE,0.7748714732030931,29.66611932129173,22.742408966750457,42.96,55.441452532012654,1.448116605166052
AEP,0.1944814627385808,20.411616161616163,9.450810641384964,32.0,164.54010345970065,1.5677347519485338
AES,-0.5180381542699019,1.903783782754711,,9.93,-19.168472279797356,5.215928452563885
AET,-0.1670902292329462,13.566480966511492,,85.0,-508.70718407776315,6.265442026552082
AFL,0.2016679591000837,6.077469789693382,5.251351816632293,40.81,202.36233947181879,6.714965505745267
AGN,,,,26.9,,
AIG,14.363918512726707,564.2407975460122,427.0315548573713,71.28,4.962434167030714,0.12632904304334236
AIV,0.2842272979543011,21.15327380952381,11.63088998313499,31.13,109.52501826550515,1.4716398170946183
ALL,0.7428195048837801,29.547142857142852,22.222384337130578,46.55,62.666636637769905,1.5754484359135523
ALTR,,,,18.31,,
AM,,,,28.03,,
AMAT,0.0280910306338145,5.10841663132454,1.796876590592288,19.62,698.4435799369526,3.8407204063371028
AMCC,-0.2229088057684216,3.506938581595344,,21.28,-95.46504870744158,6.067970540367861
AMD,-0.3768423971729471,7.125153044633895,,15.9,-42.192704746814606,2.231531014196899
AMGN,0.2036047899926698,15.30820189274448,8.37427744403042,54.57,268.01923472411744,3.564755703010695
AN,0.3163323908957555,15.280688622754491,10.428805168753213,17.1,54.05706305186798,1.1190595150624543
AON,0.3986112427913592,14.723583832050386,11.491396177872309,28.47,71.42297292126742,1.933632485456858
APA,0.6941164583092524,22.27340351743142,18.650939900988305,43.55,62.741632875382706,1.9552467572330055
APC,1.5828535706607645,85.43864840021084,55.16184884579037,58.6,37.02174420059421,0.6858722732305699
APD,0.5927972236378862,18.911358574610244,15.882018741665476,52.45,88.478821945427,2.773465470133786
APOL,0.4137235794753401,7.347790822982247,8.270367114687598,7.57,18.2972409007962,1.030241630766452
ARNC,,,,6.92,,
ASH,0.7666289679664335,35.5590061382952,24.766160259486124,52.81,68.88599597284232,1.4851371209480002
ASO,,,,12.99,,
AT,,,,10.92,,
ATI,-0.4188068343922661,1.857180442051373,,18.05,-43.09862809710949,9.719034075150306
AVP,0.6994771006130542,1.258474576271186,4.450412152331709,46.14,65.96356043616119,36.66343434343436
AVY,0.6425703564808062,13.78978978978979,14.119861124421998,64.01,99.61555081776015,4.641840156794426
AXP,0.4811190643312973,12.001583531274743,11.398214306586285,51.38,106.79269189096168,4.281101728460219
