Ticker,EPS,BVPS,GrahamNumber,ClosingPrice,KGV,KBV
A,0.4188116352743668,12.379310344827584,10.80062415809558,34.93,83.40264944434287,2.821643454038998
AABA,0.1646270867852312,9.841997582872928,6.037866865032078,16.13,97.97901618123655,1.6388949361326273
AAPL,0.1846220828898518,3.454428199954981,3.78809766413901,405.0,2193.6704085481956,117.24082150709575
ABT,0.8246752488083247,15.533218218476584,16.977098205527177,56.23,68.18441572152636,3.6199839086220433
ACN,0.7593533854216438,5.845795351363116,9.993900691779112,53.23,70.0991146176864,9.105689953307703
ADBE,0.3258961866728093,11.765701706736005,9.28837659090587,28.27,86.74541512319779,2.4027466193380618
ADI,0.509886320651738,12.745352398350503,12.092159397543794,35.78,70.17250424421255,2.8072978197629617
ADM,0.6144813810678436,26.99249249249249,19.318220452933264,28.6,46.543314217753874,1.0595538743950605
ADP,0.6509610378275662,12.69452800033852,13.635687376924125,54.01,82.96963544891418,4.254589063772968
ADSK,0.1628120342410375,8.047115808014091,5.429434972969992,30.33,186.2884407862474,3.7690522571819423
AEE,0.4480610971744291,32.64220939818632,18.14051662814068,33.13,73.94080898548212,1.0149435534789746
AEP,0.7638188593037002,30.30828504936302,22.822705658220208,41.31,54.0835035647828,1.362993647866203
AES,0.079741389449132,7.6426735218509,3.70301790828992,11.84,148.4799811213834,1.549196098217289
AET,0.9908271979128742,28.89009420496717,25.378426852196693,42.19,42.580583263026114,1.4603621469931425
AFL,0.4941135911029838,14.49493117429763,12.694416337302115,43.26,87.55071865850314,2.9844915770768545
AGN,,,,60.34,,
AIG,-42.03819151001176,55.944835921596464,,23.2,-0.551879116742563,0.41469421829234593
AIV,-0.1295044383714295,7.773972602739726,,22.91,-176.90513381705279,2.9470132158590308
AIZ,1.0170633683684305,56.62695613731879,35.99787579654025,41.06,40.37113249479067,0.7250963640078172
AKAM,0.2416916995906104,12.051745020298604,8.09556369762134,32.28,133.55857919273808,2.6784502945947826
AKS,-0.2727439602825594,3.538251366120218,,8.26,-30.28481360849473,2.3344864864864867
ALL,0.2136321086932375,37.44535793061961,13.41601440251741,27.41,128.30468307252008,0.7319999464496092
ALTR,,,,18.31,,
AMAT,0.1606995756338391,6.67172100075815,4.911538608756644,10.71,66.64610007684897,1.6052829545454548
AMD,-0.0250292278312621,2.392318244170096,,5.4,-215.74776642750732,2.257224770642202
AMGN,1.1123212030048726,24.056890012642224,24.53726245706532,64.21,57.72613146862644,2.6690898102895577
AMP,0.7676522072084317,45.11658600967884,27.915256647949303,49.64,64.66470041233376,1.100260555826426
AMT,0.2129019227055033,8.345633877908526,6.322818495185948,60.01,281.86687671679164,7.190586224834359
AMZN,0.0252694571470623,0.852417582417582,0.6961701769911083,173.1,6850.166942352528,203.0694856258864
AN,0.378867941845028,13.95139911634757,10.905462028454172,36.87,97.31623061177683,2.6427456983004327
ANDV,,,,23.36,,
ANF,0.3434479068032721,22.207745912007542,13.100079640471773,48.84,142.20497208613267,2.199232654836555
ANRZQ,,,,20.43,,
AON,0.6100510793517026,24.43764702596619,18.314878958449288,46.8,76.71488762831805,1.915077992176281
APA,0.8387671197344226,75.50260416666667,37.747911083393376,90.58,107.99183452575035,1.1996937191735935
APC,0.0062219353367292,36.355421686746986,2.255997421247521,76.33,12267.887059097244,2.099549295774648
APD,1.136816554852719,28.0979553019496,26.808580095881258,85.19,74.9373323570546,3.0318932137417494
APH,0.1610320770001425,3.3337592975956563,3.47547826032378,45.39,281.8693073179441,13.61526011573054
APOL,1.306151966280824,10.157583756656791,17.277596184638565,7.57,5.795650273034495,0.7452559763574665
ARG,0.9331832807123188,21.52025263597453,21.2568259395288,78.08,83.67059463431434,3.628210194404356
ARNC,,,,6.92,,
ATGE,0.883092451526032,19.856183779554726,19.86288084005853,38.46,43.551498977869215,1.936928083814425
ATI,0.3311322326025269,23.373937677053824,13.196474672183893,47.8,144.35320785390445,2.0450127257302144
AVB,0.6762614411874688,46.12715130242518,26.49274072075473,130.6,193.12057740668362,2.8313042603420766
AVP,66227.79599892024,3.647851335656213,2331.4707733692776,17.47,0.00026378652250914143,4.789120606214978
AVY,-0.2101674397026956,16.408067542213885,,28.68,-136.46262256689684,1.7479206449030928
AXP,0.7399926621776468,16.201724137931034,16.424251336838676,47.17,63.74387532599088,2.911418537831223
AZO,4.025210595644012,-33.791521384673274,,324.97,80.73366406013015,-9.616909410518454
BA,0.8840501010106478,4.67109634551495,9.639158257434444,73.35,82.9704107449862,15.702951635846372
BAC,0.0427752775178325,22.38032438587869,4.641099352229406,5.56,129.98162309250014,0.24843250277052248
BAX,0.9234108856303224,11.717081850533807,15.60265429001101,49.48,53.583947048907525,4.222894457099469
BBBY,0.6920004904008342,16.444403327137703,16.001235616395036,57.97,83.77161693400168,3.5252115170596587
BBY,0.7005996308138805,17.72588268001112,16.715914703748158,23.37,33.35714004423792,1.3184110727728984
BCR,,,,85.5,,
BDX,1.3673821030402162,22.060447970135325,26.052137899542725,74.72,54.64456484684764,3.387057239325029
BEAM,,,,18.75,,
BEN,0.5450739343659532,12.762059231837112,12.510634728599817,96.06,176.2329730768358,7.526998445545693
BHGE,,,,37.25,,
BIG,0.5975066477812784,11.550678224453032,12.461386683415116,37.76,63.19594960192362,3.269072106957432
BIIB,1.0180423810911683,26.452969431056268,24.615655378169382,110.05,108.09962536338135,4.1602134795044705
BK,0.2520893506212211,27.73208829255581,12.54179783378034,19.91,78.97993291242172,0.717940884579705
BKNG,3.4351529823145586,51.84466508237,63.301840472320094,467.71,136.15405264567386,9.021371808592255
BLK,2.168230295836966,139.91510803872848,82.6183028277309,178.24,82.20528988190205,1.2739153226445226
BMS,0.4105685517263638,15.161213968107942,11.834531988179377,30.08,73.26425726841288,1.9840099917641265
BMY,0.828351139389771,9.45820983995258,13.277092121169677,35.24,42.5423450566635,3.7258636249686634
BRCM,0.2635261707666312,11.749549549549547,8.346679610664097,57.49,218.15670084209955,4.8929535347339375
BRK.B,,,,76.3,,
BSX,-0.1923984244732841,7.855660116246886,,5.34,-27.75490503427432,0.6797646437065092
BTUUQ,,,,7.75,,
BXP,0.3090681250283086,32.80234321808242,15.103263590572906,99.6,322.2590488452256,3.036368448980044
C,-1.7831138150035395,60.99272777167948,,26.31,-14.755087296515491,0.43136290113944403
CA,,,,25.195,,
CAG,0.4153686074369304,11.33389748549323,10.29195158102197,26.4,63.558004931820896,2.32929581671182
CAH,0.6568536760305789,17.18173913043478,15.935259377856134,40.61,61.82503270044798,2.3635558479680148
CAM,580408.4802051968,18.889344262295083,15706.03549261899,49.19,8.475065695561415e-05,2.6041136906053373
CAT,1.1092562018439216,19.82,22.241241044786527,90.6,81.67635200001155,4.571140262361251
CB,1.6533746700660734,72.4110007999856,51.90141209570972,70.12,42.41022997963179,0.9683611498988417
CBRE,-0.2067418202445995,3.5908441412430943,,15.22,-73.61839023180205,4.238557676505301
CCL,0.590582508930251,30.632390745501286,20.175392662169525,32.64,55.267468146190645,1.0655387713997986
CEG,,,,53.01,,
