Ticker,EPS,BVPS,GrahamNumber,ClosingPrice,KGV,KBV
A,0.354557729011593,11.39193083573487,9.533083726630336,51.11,144.1514196925851,4.486508980521124
AABA,0.1397844754398484,9.78055660959521,5.546289249723206,15.04,107.59420853191929,1.5377447930974617
ADBE,0.332723501141084,10.785603358909396,8.985768387213517,31.45,94.52292937571706,2.9159240288602746
ADI,0.4779851738785951,11.94305871840439,11.333296628014851,39.14,81.8853850264847,3.2772174132983882
ADM,0.7225158216496065,27.82248520710059,21.267326573742217,30.15,41.72919000052242,1.083655891110166
ADP,0.6213687506296821,12.31891781102685,13.123577553789156,52.68,84.78057505565768,4.276349660588314
ADSK,0.1772590101607743,7.673970201577563,5.5322968235205545,38.6,217.7604397372507,5.029990863407949
AEE,0.4996871248502613,32.288557213930346,19.053056636543136,28.84,57.716115876794575,0.893195685670262
AEP,0.6916151858022201,28.923377998064584,21.215243754988624,37.68,54.48116347574716,1.3027523964358994
AES,0.2333959586753492,8.837595907928389,6.8124761511227705,12.74,54.58534960205193,1.441568513963247
AET,0.9275035108330976,27.488132911392405,23.950890277506883,44.09,47.53620820302632,1.6039648870341057
AFL,0.4348712801458595,12.84142697289163,11.209294143634622,46.68,107.3421081850775,3.63511003088223
AGN,,,,68.73,,
AIG,-59.77180354747273,50.46024965154751,,29.32,-0.4905322954946992,0.5810514256760285
AIV,2.516768651436573,8.467465753424657,21.897252755082512,25.53,10.143959789640364,3.0150697674418607
AIZ,0.865880767122027,49.90097279232266,31.17990672748901,36.27,41.88798432439202,0.7268395377971508
AKAM,0.2291016648257671,11.940898827197064,7.845558967887834,31.47,137.3625984950091,2.6354799965579376
AKS,-0.1475113315740441,5.895644283121597,,15.76,-106.83924978393394,2.67315991996306
ALL,-0.0507906143839591,35.87077040718792,,30.53,-601.0953080662499,0.8511107972713707
ALTR,,,,18.31,,
AMAT,0.1262449809023518,6.198484848484848,4.196054221493206,13.01,103.053601870026,2.098900024443901
AMD,-0.2237799400025004,2.163888888888888,,6.99,-31.236043766576653,3.2302952503209257
AMGN,1.1343285625455004,27.631067961165048,26.555808517999807,58.35,51.44012231258565,2.1117533380182714
AMP,0.6415942181011105,42.96537678207739,24.904670038832524,57.68,89.90105953683963,1.3424762988244217
AMT,0.2184912525540549,8.98101854280254,6.644634285582066,52.33,239.50615591374083,5.826733321014873
AMZN,0.0257493016531052,0.857064017660044,0.7046616197522699,204.49,7941.5746009305785,238.59361236316812
AN,-0.2915011895887843,14.3561736770692,,36.61,-125.59125419572077,2.550122394971882
ANDV,,,,22.91,,
ANF,0.3944716170363674,21.8666162553562,13.931245032325425,66.92,169.64465150310286,3.0603729090278446
AON,0.8343326964147835,24.73829458898499,21.5499253051014,51.3,61.48626347791662,2.073708024434389
APA,1.006087901430691,69.4453125,39.64885869908211,123.39,122.64335931734718,1.776793790077624
APC,0.8036597064840856,43.201207243460765,27.94958075702301,76.76,95.51306278103173,1.776802198314005
APD,1.0488929415932544,29.328,26.30861977182681,95.58,91.12464791193585,3.2590016366612113
APH,0.1565188708391529,3.353572031770137,3.4365956152906003,53.99,344.94243224820474,16.099251630358488
APOL,1.287423613415399,9.695019076621511,16.758159835271115,7.57,5.879960504932475,0.7808133166291787
ARG,0.9998614945134244,19.33248666173129,20.854752519290145,70.04,70.04970226809712,3.622917280405752
ARNC,,,,6.92,,
ATGE,0.8724451881240294,20.304666440841043,19.96449202928646,59.13,67.77503137720774,2.912138457052672
ATI,0.5037051379600073,26.353574926542606,17.28220760254761,63.47,126.0062588542413,2.408401902850559
AVB,0.7390080558154584,40.10701604500592,25.824149142218268,128.4,173.746414520904,3.2014348775265775
AVP,36876.52229932658,4706251.598353986,1976076.749595318,28.0,0.0007592906883334637,5.949533171960678e-06
AVY,-0.1750203770766836,16.23551401869159,,38.63,-220.7171567404098,2.3793518305318906
AXP,0.6779501250270609,15.126050420168069,15.189829653559904,51.7,76.25929709495423,3.4179444444444442
AZO,3.696919604834168,-26.669707942255467,,294.85,79.75558884603498,-11.05561413114839
BA,0.7935372406694561,6.348759221998659,10.646806078854846,73.93,93.16512976458426,11.644795055989858
BAC,0.0595519725800233,22.008676040086662,5.430455931263214,10.96,184.04092299835136,0.4979854299294254
BAX,0.9066953720742807,12.275438596491227,15.824881539097332,59.69,65.83247454262943,4.862555380877519
BBBY,0.6041380293057823,16.028674871510837,14.760740872608585,58.37,96.61699341634431,3.641598601750048
BBY,0.702230630847565,18.191900954346146,16.953922167995685,31.41,44.72889478217342,1.7265925138239047
BCR,,,,109.86,,
BDX,1.3484074562513333,24.19736397431565,27.09479442814392,86.17,63.90501595085999,3.5611317039106143
BEAM,,,,18.75,,
BEN,0.5160189530459776,13.142663695136768,12.352810615584485,131.29,254.4286391517522,9.98960355719836
BHGE,,,,37.25,,
BIG,0.6109949283971119,13.596985698272718,13.671978983325188,33.15,54.25576949871896,2.438040366859486
BIIB,0.9208851974310164,24.660340381640022,22.604428868562668,106.92,116.10567777424764,4.335706577659548
BK,0.219929450839084,27.51205699582089,11.667948007136925,25.62,116.49190184513039,0.9312280795249772
BKNG,2.6376848767949737,40.01824288989903,48.73396214651934,511.93,194.08307812040132,12.792415734205457
BMS,0.4228004738339544,17.676987502576306,12.96770490761717,33.78,79.89584234303946,1.910959092723055
BMY,0.8756380742106449,9.579964850615116,13.73838034078113,28.96,33.07302509213794,3.022975600807191
BRCM,0.2352936180907042,10.58918918918919,7.487342274255541,57.49,244.33301874697668,5.429122001020929
BRK.B,,,,77.39,,
